epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
91,2024.25,0.29073,0.43001,0.34232,0.84961,0,0.875,0.8249,0.86783,0.79925,0.85381,0.80573,0.83363,0.74576,0.39745,1.17689,0.59233,0.93531,0,1.71135e-05,1.71135e-05,1.71135e-05
92,2039.5,0.27277,0.40181,0.30433,0.84184,0,0.87449,0.81583,0.86664,0.80094,0.85192,0.79692,0.83349,0.747,0.39748,1.23246,0.59037,0.9371,0,1.48273e-05,1.48273e-05,1.48273e-05
93,2054.66,0.2816,0.3927,0.29083,0.84667,0,0.87522,0.8349,0.87057,0.80383,0.85422,0.81592,0.83824,0.75419,0.39349,1.28587,0.57946,0.93141,0,1.27757e-05,1.27757e-05,1.27757e-05
94,2070.03,0.26772,0.40667,0.29506,0.8533,0,0.86655,0.83579,0.87198,0.80501,0.84563,0.81682,0.84291,0.75602,0.39678,1.31862,0.58517,0.93393,0,1.09606e-05,1.09606e-05,1.09606e-05
95,2085.24,0.27846,0.39373,0.29404,0.85268,0,0.86587,0.8375,0.87106,0.80284,0.84505,0.8186,0.84058,0.75863,0.39548,1.31759,0.57821,0.93142,0,9.38391e-06,9.38391e-06,9.38391e-06
96,2100.41,0.28331,0.39115,0.32806,0.85511,0,0.86855,0.83218,0.87102,0.80182,0.84763,0.81291,0.84186,0.75481,0.39678,1.32601,0.5839,0.9316,0,8.04714e-06,8.04714e-06,8.04714e-06
97,2115.51,0.27837,0.40638,0.28376,0.85005,0,0.86349,0.83805,0.87412,0.80378,0.84297,0.81891,0.84428,0.75293,0.39659,1.36444,0.57456,0.93291,0,6.95161e-06,6.95161e-06,6.95161e-06
98,2130.6,0.25914,0.37967,0.2599,0.8478,0,0.86733,0.8448,0.87529,0.80426,0.84715,0.82572,0.84437,0.75584,0.39825,1.37249,0.57993,0.93395,0,6.09841e-06,6.09841e-06,6.09841e-06
99,2145.71,0.26877,0.38359,0.28291,0.83965,0,0.87069,0.84275,0.87341,0.80571,0.85051,0.8236,0.84346,0.75414,0.39567,1.3811,0.57254,0.93172,0,5.48838e-06,5.48838e-06,5.48838e-06
100,2160.97,0.27367,0.39941,0.26988,0.85081,0,0.85819,0.84642,0.87663,0.80232,0.83896,0.82722,0.84604,0.7564,0.39717,1.37385,0.57624,0.93212,0,5.12213e-06,5.12213e-06,5.12213e-06
